"","ttext","date","isretweet","retweetcount","favoritecount","score","delivery","location","duplicate"
"1","swiggy_in SwiggyCares 
SWIGGY = SHITTY","2019-06-03 16:59:46","FALSE","0","0","0","swiggy","banglore",FALSE
"2","Hey swiggy_in . Check out this epic conversation I just had with untrained professionals when I contacted to say m ","2019-06-03 16:58:26","FALSE","0","0","0","swiggy","banglore",FALSE
"3","Swiggy Daily App Launched for Homestyle Meals, Now Live in Gurugram
","2019-06-03 16:50:26","FALSE","0","0","0","swiggy","banglore",FALSE
"4","Our new app swiggy_in Swiggy SwiggyDaily ","2019-06-03 16:46:44","FALSE","0","2","0","swiggy","banglore",FALSE
"5","RT nandi_naik: swiggy_in SwiggyCares your complete business works on Plastic covers using which food will be delivered. If plastic is ba","2019-06-03 16:41:20","TRUE","4","0","1","swiggy","banglore",FALSE
"6","Added advantage: your swiggy food will be delivered faster because of very little traffic. ","2019-06-03 16:27:15","FALSE","0","2","2","swiggy","banglore",FALSE
"7","swiggy_in SwiggyCares why is it that, that you are delivering bad quality of food to me quite regularly..fed up u ","2019-06-03 16:10:45","FALSE","0","0","-1","swiggy","banglore",FALSE
"8","DusRupiya swiggy_in Thanks","2019-06-03 16:05:14","FALSE","0","0","0","swiggy","banglore",FALSE
"9","Good food served at the fastest speed. swiggy_in DrivezyIN ","2019-06-03 16:02:10","FALSE","0","0","2","swiggy","banglore",FALSE
"10","VijayGanapathyG HDFC_Bank DinersClub Zomato swiggy_in ZomatoIN swiggy_in getting too slow now :/","2019-06-03 15:56:56","FALSE","0","0","-1","swiggy","banglore",FALSE
"11","swiggy_in When can i have it in vizag?","2019-06-03 15:52:12","FALSE","0","0","0","swiggy","banglore",FALSE
"12","Hey HDFC_Bank DinersClub just saying, Zomato was a better 10X Partner than swiggy_in","2019-06-03 15:50:44","FALSE","0","0","1","swiggy","banglore",FALSE
"13","RT just4ashok85: Dear swiggy_in,
Could u plz imprve ur service abt delivery at specific location. I was using regular service frm ur plat","2019-06-03 15:33:47","TRUE","1","0","0","swiggy","banglore",FALSE
"14","Swiggy launches meal subscription app Daily for everyday home-style food ","2019-06-03 15:30:00","FALSE","0","3","0","swiggy","banglore",FALSE
"15","swiggy_in SwiggyCares I have ordered food, quantity issues, no proper response from chat executives, this is the ","2019-06-03 15:15:49","FALSE","0","0","-1","swiggy","banglore",FALSE
"16","RT Ankit0316: GharJaisaKhaana which you can eat Daily! Light on pocket with all the 'cheat day' options baked-in! Presenting to you Swig","2019-06-03 15:13:53","TRUE","6","0","-1","swiggy","banglore",FALSE
"17","SwiggyCares SodexoGroup swiggy_in Oh! Thank you for clearing the doubt","2019-06-03 15:11:02","FALSE","0","0","0","swiggy","banglore",FALSE
"18","RT nandi_naik: swiggy_in SwiggyCares your complete business works on Plastic covers using which food will be delivered. If plastic is ba","2019-06-03 15:02:01","TRUE","4","0","1","swiggy","banglore",TRUE
"19","Hopefully, ZomatoIN Zomato swiggy_in SwiggyCares will start adopting eco-friendly food packaging ware like ","2019-06-03 15:00:03","FALSE","0","0","1","swiggy","banglore",FALSE
"20","swiggy_in you have definitely lost a customer today ","2019-06-03 14:51:06","FALSE","0","0","-1","swiggy","banglore",FALSE
"21","So finally when I thought SwiggyCares actually cares about you, they prove you wrong.. Ordered twice from them and ","2019-06-03 14:49:15","FALSE","0","0","-1","swiggy","banglore",FALSE
"22","RT nandi_naik: swiggy_in SwiggyCares your complete business works on Plastic covers using which food will be delivered. If plastic is ba","2019-06-03 14:47:21","TRUE","4","0","1","swiggy","banglore",TRUE
"23","RT anujrathi: Announcing a brand new app SwiggyDaily for homestyle meal subscriptions in Gurgaon, from the house of swiggy_in. With a va","2019-06-03 14:35:07","TRUE","7","0","0","swiggy","banglore",FALSE
"24","WeirdoWizard saptarshipr SwiggyDaily swiggy_in I guess he wants us to check the dribbble shot and then the website through that. ","2019-06-03 14:33:50","FALSE","0","1","0","swiggy","banglore",FALSE
"25","RT saptarshipr: .SwiggyDaily, the brand new offering from swiggy_in is now live! I have been working on this right from the scratch. Now","2019-06-03 14:29:03","TRUE","1","0","0","swiggy","banglore",FALSE
"26","Swiggy Daily - Website by saptarshipr ","2019-06-03 14:28:30","FALSE","0","6","0","swiggy","banglore",FALSE
"27","swiggy_in Thank you for great response","2019-06-03 14:17:32","FALSE","0","1","2","swiggy","banglore",FALSE
"28","RT XpressBengaluru: Over two days, techie Pratyush Kumar used swiggy_in to deliver food to 15 customers and Rapido to drop 10 customers","2019-06-03 13:42:11","TRUE","4","0","0","swiggy","banglore",FALSE
"29","RT nandi_naik: swiggy_in SwiggyCares your complete business works on Plastic covers using which food will be delivered. If plastic is ba","2019-06-03 13:35:00","TRUE","4","0","1","swiggy","banglore",TRUE
