"","ttext","date","isretweet","retweetcount","favoritecount","score","delivery","location","duplicate"
"1","This is so amazing! Good on you, deepigoyal and for the culture you want to establish at Zomato ","2019-06-03 17:00:10","FALSE","0","0","2","zomato","banglore",FALSE
"2","RT beastoftraal: Zomato's new parental leave policy is a stupendous win. Very wellplayed. Hope other organizations are forced to follow","2019-06-03 16:59:08","TRUE","12","0","2","zomato","banglore",FALSE
"3","Hey swiggy_in . Check out this epic conversation I just had with untrained professionals when I contacted to say m ","2019-06-03 16:58:26","FALSE","0","0","0","zomato","banglore",FALSE
"4","RT beastoftraal: Zomato's new parental leave policy is a stupendous win. Very wellplayed. Hope other organizations are forced to follow","2019-06-03 16:57:24","TRUE","12","0","2","zomato","banglore",TRUE
"5","priyaramani Damn this is seriously amazing to hear and also the best idea that they are making this public as a be ","2019-06-03 16:55:24","FALSE","0","0","1","zomato","banglore",FALSE
"6","RT beastoftraal: Zomato's new parental leave policy is a stupendous win. Very wellplayed. Hope other organizations are forced to follow","2019-06-03 16:50:17","TRUE","12","0","2","zomato","banglore",TRUE
"7","This is awesome! Zomato ","2019-06-03 16:34:48","FALSE","0","0","1","zomato","banglore",FALSE
"8","zomatocare Hell zomatocare everytime you reply here and then forget about the issue. You guys are just useless. ","2019-06-03 16:22:47","FALSE","0","0","-3","zomato","banglore",FALSE
"9","RT beastoftraal: Zomato's new parental leave policy is a stupendous win. Very wellplayed. Hope other organizations are forced to follow","2019-06-03 16:14:48","TRUE","12","0","2","zomato","banglore",TRUE
"10","RT dhanyarajendran: Zomato announces 26 weeks paid parental leave for men and women ","2019-06-03 16:13:43","TRUE","47","0","0","zomato","banglore",FALSE
"11","RT chandrarsrikant: Outstanding. Zomato announces 26 weeks paid parental leave for men and women. ","2019-06-03 16:12:43","TRUE","28","0","1","zomato","banglore",FALSE
"12","RT thenewsminute: Zomato announces 26 weeks paid parental leave for men and women
","2019-06-03 16:11:15","TRUE","2","0","0","zomato","banglore",FALSE
"13","RT chandrarsrikant: Outstanding. Zomato announces 26 weeks paid parental leave for men and women. ","2019-06-03 16:10:00","TRUE","28","0","1","zomato","banglore",TRUE
"14","RT thenewsminute: Zomato announces 26 weeks paid parental leave for men and women
","2019-06-03 16:04:36","TRUE","2","0","0","zomato","banglore",TRUE
"15","RT chandrarsrikant: Outstanding. Zomato announces 26 weeks paid parental leave for men and women. ","2019-06-03 16:02:54","TRUE","28","0","1","zomato","banglore",TRUE
"16","RT beastoftraal: Zomato's new parental leave policy is a stupendous win. Very wellplayed. Hope other organizations are forced to follow","2019-06-03 16:00:21","TRUE","12","0","2","zomato","banglore",TRUE
"17","Zomato announces 26 weeks paid parental leave for men and women
","2019-06-03 16:00:01","FALSE","2","9","0","zomato","banglore",FALSE
"18","VijayGanapathyG HDFC_Bank DinersClub Zomato swiggy_in ZomatoIN swiggy_in getting too slow now :/","2019-06-03 15:56:56","FALSE","0","0","-1","zomato","banglore",FALSE
"19","Hey HDFC_Bank DinersClub just saying, Zomato was a better 10X Partner than swiggy_in","2019-06-03 15:50:44","FALSE","0","0","1","zomato","banglore",FALSE
"20","RT dhanyarajendran: Zomato announces 26 weeks paid parental leave for men and women ","2019-06-03 15:47:40","TRUE","47","0","0","zomato","banglore",TRUE
"21","RT dhanyarajendran: Zomato announces 26 weeks paid parental leave for men and women ","2019-06-03 15:47:25","TRUE","47","0","0","zomato","banglore",TRUE
"22","I just predicted for AFG vs SL match on the Zomato app. You can also play to win up to 100% cashback on your ord ","2019-06-03 15:39:40","FALSE","0","0","2","zomato","banglore",FALSE
"23","RT just4ashok85: Dear swiggy_in,
Could u plz imprve ur service abt delivery at specific location. I was using regular service frm ur plat","2019-06-03 15:33:47","TRUE","1","0","0","zomato","banglore",FALSE
"24","RT beastoftraal: Zomato's new parental leave policy is a stupendous win. Very wellplayed. Hope other organizations are forced to follow","2019-06-03 15:19:07","TRUE","12","0","2","zomato","banglore",TRUE
"25","RT chandrarsrikant: Outstanding. Zomato announces 26 weeks paid parental leave for men and women. ","2019-06-03 15:13:17","TRUE","28","0","1","zomato","banglore",TRUE
"26","Zomato I ordered Tea from Chai point through Zomato with order id-1599837100 and it turns out that the joint is in ","2019-06-03 15:07:07","FALSE","0","0","0","zomato","banglore",FALSE
"27","RT chandrarsrikant: Outstanding. Zomato announces 26 weeks paid parental leave for men and women. ","2019-06-03 15:05:51","TRUE","28","0","1","zomato","banglore",TRUE
"28","Chai_Point I ordered Tea from Chai point through Zomato with order id-1599837100 and it turns out that your joint ","2019-06-03 15:05:41","FALSE","0","0","0","zomato","banglore",FALSE
"29","deepigoyal Zomato never responds via chat or email. Once you get fed up n cancel order from your end, Zomato legal ","2019-06-03 15:04:31","FALSE","0","0","-1","zomato","banglore",FALSE
"30","RT beastoftraal: Zomato's new parental leave policy is a stupendous win. Very wellplayed. Hope other organizations are forced to follow","2019-06-03 15:00:23","TRUE","12","0","2","zomato","banglore",TRUE
"31","Hopefully, ZomatoIN Zomato swiggy_in SwiggyCares will start adopting eco-friendly food packaging ware like ","2019-06-03 15:00:03","FALSE","0","0","1","zomato","banglore",FALSE
"32","Zomato leading the way. Kudos ","2019-06-03 14:59:04","FALSE","0","1","2","zomato","banglore",FALSE
"33","RT beastoftraal: Zomato's new parental leave policy is a stupendous win. Very wellplayed. Hope other organizations are forced to follow","2019-06-03 14:56:49","TRUE","12","0","2","zomato","banglore",TRUE
"34","RT chandrarsrikant: Outstanding. Zomato announces 26 weeks paid parental leave for men and women. ","2019-06-03 14:49:55","TRUE","28","0","1","zomato","banglore",TRUE
"35","The previous quote AND the following tweet can be interpreted in many ways, but the recent announcement by Zomato d ","2019-06-03 14:48:43","FALSE","0","1","0","zomato","banglore",FALSE
"36","""We made six-day work weeks possible in the UK, in Australia, and in Europe  all markets where we were told that t ","2019-06-03 14:42:48","FALSE","0","0","1","zomato","banglore",FALSE
"37","Hey Zomato,pls help in understanding your logic.Why cashback is 0rs when Im eligible for 25% cashback credit. In ","2019-06-03 14:40:54","FALSE","0","1","2","zomato","banglore",FALSE
"38","deepigoyal Zomato Awesome Deep! You have an opportunity to be the first one from India to be at a global level of ","2019-06-03 14:39:12","FALSE","0","0","1","zomato","banglore",FALSE
