"","ttext","date","isretweet","retweetcount","favoritecount","score","delivery","location","duplicate"
"1","Great move Zomato! ","2019-06-03 17:05:32","FALSE","0","0","1","zomato","delhi",FALSE
"2","RT synadehnugara: .Zomato announced its new parental leave policy: 26 weeks paid leave for both male &amp; female employees. This policy also","2019-06-03 17:03:33","TRUE","8","0","0","zomato","delhi",FALSE
"3","RT deepigoyal: We firmly believe that young parents should be able to make a choice of how to care for their children. So, today, we are i","2019-06-03 17:00:00","TRUE","109","0","0","zomato","delhi",FALSE
"4","RT deepigoyal: We firmly believe that young parents should be able to make a choice of how to care for their children. So, today, we are i","2019-06-03 16:59:33","TRUE","109","0","0","zomato","delhi",TRUE
"5","RT varshneyrashi: Foodtech unicorn Zomato announces 26-week paid parental leave for men and women, $1,000 endowment per child ","2019-06-03 16:59:22","TRUE","2","0","0","zomato","delhi",FALSE
"6","RT deepigoyal: We firmly believe that young parents should be able to make a choice of how to care for their children. So, today, we are i","2019-06-03 16:54:35","TRUE","109","0","0","zomato","delhi",TRUE
"7","RT deepigoyal: We firmly believe that young parents should be able to make a choice of how to care for their children. So, today, we are i","2019-06-03 16:54:22","TRUE","109","0","0","zomato","delhi",TRUE
"8","RT deepigoyal: We firmly believe that young parents should be able to make a choice of how to care for their children. So, today, we are i","2019-06-03 16:54:11","TRUE","109","0","0","zomato","delhi",TRUE
"9","priyaramani Zomato durgaraghunath deepigoyal Durga and Deepinder are doing some excellent things around gender ","2019-06-03 16:52:47","FALSE","0","7","1","zomato","delhi",FALSE
"10","RT deepigoyal: We firmly believe that young parents should be able to make a choice of how to care for their children. So, today, we are i","2019-06-03 16:50:17","TRUE","109","0","0","zomato","delhi",TRUE
"11","RT annavetticad: Fabulous move Zomato ZomatoIN deepigoyal ","2019-06-03 16:47:22","TRUE","1","0","1","zomato","delhi",FALSE
"12","RT deepigoyal: We firmly believe that young parents should be able to make a choice of how to care for their children. So, today, we are i","2019-06-03 16:46:43","TRUE","109","0","0","zomato","delhi",TRUE
"13","RT durgaraghunath: We have just announced a 26 week parental leave policy for mothers and fathers. This policy also does not discriminate","2019-06-03 16:46:11","TRUE","15","0","-1","zomato","delhi",FALSE
"14","RT deepigoyal: We firmly believe that young parents should be able to make a choice of how to care for their children. So, today, we are i","2019-06-03 16:45:50","TRUE","109","0","0","zomato","delhi",TRUE
"15","Zomato ZomatoIN zomatocare 
May I know why here showing different prices .. I am your regular user and still I a ","2019-06-03 16:45:21","FALSE","0","0","0","zomato","delhi",FALSE
"16","Mondays aren't always bad 

Love for Zomato and deepigoyal for this much much needed initiative ","2019-06-03 16:42:58","FALSE","0","1","0","zomato","delhi",FALSE
"17","Fabulous move Zomato ZomatoIN deepigoyal ","2019-06-03 16:41:03","FALSE","1","2","1","zomato","delhi",FALSE
"18","RT durgaraghunath: We have just announced a 26 week parental leave policy for mothers and fathers. This policy also does not discriminate","2019-06-03 16:35:35","TRUE","15","0","-1","zomato","delhi",TRUE
"19","Zomato deepigoyal Zomato is cheating with customers without my permission they deduct money for renewal of my zom ","2019-06-03 16:35:17","FALSE","0","0","-1","zomato","delhi",FALSE
"20","RT varshneyrashi: Foodtech unicorn Zomato announces 26-week paid parental leave for men and women, $1,000 endowment per child ","2019-06-03 16:34:41","TRUE","2","0","0","zomato","delhi",TRUE
"21","RT durgaraghunath: We have just announced a 26 week parental leave policy for mothers and fathers. This policy also does not discriminate","2019-06-03 16:34:08","TRUE","15","0","-1","zomato","delhi",TRUE
"22","synadehnugara Zomato deepigoyal Awesome!way to go Zomato","2019-06-03 16:33:44","FALSE","0","0","0","zomato","delhi",FALSE
"23","deepigoyal Zomato is cheating with customers without my permission they deduct money for renewal of my zomato gold ","2019-06-03 16:32:22","FALSE","0","0","0","zomato","delhi",FALSE
"24","RT deepigoyal: We firmly believe that young parents should be able to make a choice of how to care for their children. So, today, we are i","2019-06-03 16:32:07","TRUE","109","0","0","zomato","delhi",TRUE
"25","RT jsherenow: Not only 26-week parental leave, food delivery firm Zomato has pledged to help the families with $1,000(aprox Rs 69K) at bir","2019-06-03 16:26:06","TRUE","1","0","0","zomato","delhi",FALSE
"26","RT deepigoyal: We firmly believe that young parents should be able to make a choice of how to care for their children. So, today, we are i","2019-06-03 16:21:06","TRUE","109","0","0","zomato","delhi",TRUE
"27","Zomato I kindly request you to please control on your advertisements which appears as pop ups on different apps.
I ","2019-06-03 16:20:23","FALSE","0","0","1","zomato","delhi",FALSE
"28","RT synadehnugara: .Zomato announced its new parental leave policy: 26 weeks paid leave for both male &amp; female employees. This policy also","2019-06-03 16:18:11","TRUE","8","0","0","zomato","delhi",TRUE
"29","Zomato, Swiggy can't deliver food without hygiene rating: Punjab
","2019-06-03 16:17:16","FALSE","0","0","0","zomato","delhi",FALSE
